                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.1818,                 1.1422,                  1.338,                0.79036,                0.62644,                0.71788,                0.49649,                 1.0895,                0.94196,                 1.2606,               0.007195,               0.007195,               0.007195
                     87,                 1.1811,                 1.1378,                 1.3341,                0.78826,                0.62716,                0.71828,                  0.497,                 1.0887,                0.94007,                 1.2596,               0.007162,               0.007162,               0.007162
                     88,                 1.1799,                 1.1373,                 1.3367,                0.79447,                0.62379,                0.71837,                0.49734,                 1.0878,                0.93845,                 1.2586,               0.007129,               0.007129,               0.007129
                     89,                 1.1792,                 1.1359,                 1.3333,                0.79541,                0.62379,                 0.7194,                0.49769,                 1.0872,                0.93752,                 1.2579,               0.007096,               0.007096,               0.007096
                     90,                 1.1776,                 1.1331,                 1.3316,                0.79477,                0.62438,                0.71924,                0.49811,                 1.0867,                 0.9361,                 1.2572,               0.007063,               0.007063,               0.007063
                     91,                 1.1731,                 1.1289,                 1.3288,                0.79745,                0.62387,                0.71973,                0.49833,                 1.0867,                0.93516,                 1.2569,                0.00703,                0.00703,                0.00703
                     92,                 1.1753,                 1.1291,                 1.3303,                0.79772,                0.62383,                0.72009,                0.49867,                 1.0862,                0.93433,                 1.2565,               0.006997,               0.006997,               0.006997
                     93,                 1.1742,                 1.1295,                 1.3283,                0.79597,                0.62515,                0.72035,                0.49913,                 1.0856,                0.93384,                 1.2556,               0.006964,               0.006964,               0.006964
                     94,                  1.173,                 1.1259,                 1.3254,                0.79849,                0.62305,                0.72019,                0.49921,                 1.0851,                0.93283,                 1.2548,               0.006931,               0.006931,               0.006931
                     95,                 1.1727,                 1.1248,                  1.325,                0.79609,                0.62474,                0.72083,                0.49933,                 1.0847,                0.93204,                  1.254,               0.006898,               0.006898,               0.006898
                     96,                  1.172,                 1.1255,                 1.3232,                0.79577,                0.62498,                0.72105,                0.49982,                 1.0844,                0.93179,                 1.2533,               0.006865,               0.006865,               0.006865
                     97,                 1.1706,                 1.1235,                 1.3262,                0.79558,                0.62577,                0.72162,                0.50011,                 1.0838,                0.93153,                 1.2526,               0.006832,               0.006832,               0.006832
                     98,                 1.1691,                  1.121,                 1.3227,                 0.7974,                 0.6254,                 0.7222,                0.50023,                 1.0832,                0.93093,                  1.252,               0.006799,               0.006799,               0.006799
                     99,                 1.1715,                 1.1218,                 1.3237,                0.79906,                0.62408,                0.72209,                0.50036,                 1.0829,                0.93048,                 1.2514,               0.006766,               0.006766,               0.006766
                    100,                 1.1684,                 1.1171,                 1.3203,                0.80019,                 0.6248,                 0.7225,                0.50061,                 1.0823,                0.92992,                 1.2506,               0.006733,               0.006733,               0.006733
