                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0631,                0.95608,                 1.2588,                0.83043,                0.67654,                 0.7784,                0.56043,                0.98121,                0.77739,                 1.1833,               0.007426,               0.007426,               0.007426
                     80,                 1.0615,                 0.9522,                 1.2549,                0.82916,                0.67911,                  0.778,                0.56081,                0.98036,                0.77533,                 1.1817,               0.007393,               0.007393,               0.007393
                     81,                 1.0636,                0.95624,                 1.2542,                0.82979,                0.68144,                0.77902,                 0.5616,                0.97968,                0.77292,                 1.1806,                0.00736,                0.00736,                0.00736
                     82,                 1.0587,                0.95131,                 1.2538,                0.83103,                0.68189,                0.77935,                0.56232,                 0.9784,                0.77088,                 1.1791,               0.007327,               0.007327,               0.007327
                     83,                 1.0591,                0.95118,                  1.253,                0.82792,                0.68444,                0.78005,                0.56271,                0.97746,                0.76915,                 1.1775,               0.007294,               0.007294,               0.007294
                     84,                 1.0563,                0.95057,                 1.2511,                0.82997,                0.68349,                0.78007,                0.56355,                0.97632,                0.76771,                 1.1765,               0.007261,               0.007261,               0.007261
                     85,                 1.0608,                0.94814,                 1.2523,                0.82476,                0.68711,                0.78107,                0.56406,                0.97566,                0.76611,                 1.1755,               0.007228,               0.007228,               0.007228
                     86,                 1.0577,                0.94801,                 1.2498,                0.82504,                0.68754,                0.78194,                0.56454,                0.97442,                0.76493,                 1.1741,               0.007195,               0.007195,               0.007195
                     87,                 1.0581,                0.95089,                 1.2506,                0.82446,                0.68874,                0.78275,                 0.5651,                0.97435,                0.76397,                 1.1732,               0.007162,               0.007162,               0.007162
                     88,                 1.0425,                0.92757,                 1.2487,                0.82372,                0.68987,                0.78319,                0.56591,                 0.9734,                0.76198,                 1.1724,               0.007129,               0.007129,               0.007129
                     89,                 1.0568,                0.94683,                 1.2539,                0.82367,                0.69058,                0.78364,                0.56609,                0.97282,                0.76058,                 1.1716,               0.007096,               0.007096,               0.007096
                     90,                 1.0558,                0.94595,                 1.2552,                0.82389,                 0.6919,                0.78373,                0.56661,                0.97144,                 0.7596,                 1.1706,               0.007063,               0.007063,               0.007063
                     91,                  1.058,                0.94709,                 1.2578,                 0.8223,                0.69412,                0.78418,                0.56701,                0.97061,                0.75826,                 1.1696,                0.00703,                0.00703,                0.00703
                     92,                 1.0565,                0.94928,                 1.2556,                0.82482,                0.69322,                0.78429,                0.56705,                0.96973,                0.75686,                 1.1686,               0.006997,               0.006997,               0.006997
                     93,                 1.0599,                0.95051,                 1.2556,                0.82436,                0.69352,                0.78503,                0.56735,                0.96947,                0.75604,                 1.1681,               0.006964,               0.006964,               0.006964
                     94,                 1.0551,                0.94597,                 1.2493,                0.82451,                0.69411,                0.78536,                0.56776,                0.96932,                0.75521,                 1.1676,               0.006931,               0.006931,               0.006931
                     95,                 1.0558,                0.94654,                 1.2525,                0.82349,                0.69542,                0.78587,                0.56829,                0.96848,                0.75471,                 1.1666,               0.006898,               0.006898,               0.006898
                     96,                 1.0517,                0.94117,                 1.2488,                0.82216,                0.69718,                 0.7867,                0.56857,                0.96792,                0.75393,                 1.1655,               0.006865,               0.006865,               0.006865
                     97,                 1.0545,                0.94347,                   1.25,                0.82475,                0.69513,                0.78669,                0.56848,                0.96748,                0.75251,                 1.1645,               0.006832,               0.006832,               0.006832
                     98,                 1.0512,                0.94217,                 1.2481,                0.82492,                0.69538,                0.78685,                0.56862,                0.96628,                0.75173,                 1.1633,               0.006799,               0.006799,               0.006799
                     99,                 1.0541,                0.94017,                 1.2459,                 0.8246,                0.69574,                0.78689,                0.56895,                0.96564,                0.75133,                 1.1618,               0.006766,               0.006766,               0.006766
                    100,                 1.0529,                0.93847,                 1.2475,                0.82409,                0.69608,                0.78701,                0.56906,                0.96572,                0.75082,                  1.161,               0.006733,               0.006733,               0.006733
                    101,                 1.0538,                0.93788,                 1.2445,                0.82384,                0.69852,                0.78761,                0.56967,                 0.9653,                0.74956,                 1.1602,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0512,                0.93772,                 1.2444,                0.82618,                0.69713,                0.78833,                0.57025,                0.96503,                0.74953,                 1.1593,               0.006667,               0.006667,               0.006667
                    103,                 1.0507,                0.93808,                  1.243,                0.82405,                0.69782,                0.78853,                0.57062,                 0.9642,                0.74818,                 1.1585,               0.006634,               0.006634,               0.006634
                    104,                 1.0496,                0.93535,                 1.2415,                0.82484,                0.69633,                0.78881,                0.57088,                0.96353,                0.74741,                 1.1573,               0.006601,               0.006601,               0.006601
                    105,                 1.0465,                0.92991,                 1.2402,                0.82638,                0.69594,                0.78901,                0.57136,                0.96315,                0.74638,                 1.1566,               0.006568,               0.006568,               0.006568
                    106,                 1.0466,                0.93286,                 1.2405,                0.82691,                0.69478,                0.78867,                0.57136,                0.96288,                0.74594,                 1.1559,               0.006535,               0.006535,               0.006535
                    107,                 1.0457,                0.92717,                 1.2389,                0.82407,                0.69707,                 0.7891,                0.57159,                0.96245,                0.74552,                 1.1551,               0.006502,               0.006502,               0.006502
                    108,                 1.0439,                0.92854,                  1.238,                0.83208,                0.69283,                0.78907,                0.57192,                0.96223,                0.74493,                 1.1546,               0.006469,               0.006469,               0.006469
                    109,                 1.0447,                0.92844,                 1.2387,                0.82881,                0.69468,                0.78892,                0.57221,                0.96165,                0.74456,                 1.1541,               0.006436,               0.006436,               0.006436
                    110,                 1.0434,                0.92886,                 1.2377,                0.83048,                  0.695,                0.78932,                0.57222,                0.96129,                0.74393,                 1.1538,               0.006403,               0.006403,               0.006403
                    111,                 1.0438,                0.92579,                 1.2375,                0.83113,                0.69478,                0.78936,                0.57294,                0.96168,                0.74371,                 1.1537,                0.00637,                0.00637,                0.00637
                    112,                 1.0411,                0.92409,                  1.236,                0.82822,                0.69449,                0.78957,                0.57308,                0.96156,                 0.7433,                 1.1528,               0.006337,               0.006337,               0.006337
                    113,                 1.0422,                0.92419,                 1.2357,                0.83078,                0.69374,                0.79006,                0.57363,                 0.9612,                0.74321,                 1.1519,               0.006304,               0.006304,               0.006304
                    114,                 1.0419,                0.92038,                 1.2339,                0.82722,                0.69538,                 0.7898,                0.57363,                0.96081,                0.74248,                 1.1512,               0.006271,               0.006271,               0.006271
                    115,                 1.0403,                0.92328,                 1.2335,                0.83029,                0.69433,                0.79022,                0.57399,                   0.96,                0.74172,                 1.1503,               0.006238,               0.006238,               0.006238
                    116,                 1.0367,                0.91779,                 1.2317,                0.82809,                0.69704,                 0.7908,                  0.574,                0.96003,                0.74029,                 1.1499,               0.006205,               0.006205,               0.006205
                    117,                 1.0405,                0.91941,                 1.2314,                0.82467,                0.69904,                0.79097,                0.57439,                0.95932,                0.73993,                 1.1489,               0.006172,               0.006172,               0.006172
                    118,                 1.0378,                0.91956,                  1.231,                0.82471,                 0.6984,                0.79122,                0.57484,                0.95893,                0.73937,                 1.1478,               0.006139,               0.006139,               0.006139
                    119,                 1.0366,                0.91634,                 1.2275,                0.81847,                0.70302,                0.79179,                0.57557,                0.95798,                0.73823,                 1.1468,               0.006106,               0.006106,               0.006106
                    120,                 1.0364,                0.91627,                 1.2269,                0.81852,                0.70443,                0.79269,                0.57644,                0.95735,                0.73748,                 1.1461,               0.006073,               0.006073,               0.006073
                    121,                 1.0353,                0.91353,                 1.2244,                0.82328,                0.70261,                0.79263,                0.57688,                0.95717,                0.73632,                 1.1453,                0.00604,                0.00604,                0.00604
                    122,                 1.0353,                0.91289,                 1.2258,                0.82675,                0.70018,                0.79279,                0.57742,                0.95636,                0.73598,                 1.1442,               0.006007,               0.006007,               0.006007
                    123,                 1.0331,                0.90978,                 1.2211,                0.83028,                0.69757,                0.79317,                0.57712,                0.95651,                0.73576,                 1.1439,               0.005974,               0.005974,               0.005974
                    124,                 1.0329,                0.90974,                 1.2232,                 0.8306,                0.69947,                0.79307,                0.57729,                0.95657,                0.73587,                 1.1435,               0.005941,               0.005941,               0.005941
